特征,重要性
待过闸船舶吨位,0.4110955850900362
水位差_分类_数值,0.2504882973115207
水位比,0.13176806730746188
水位差,0.12759003335566776
长江侧水位,0.05068215844758298
总水位,0.02310875972669597
内河侧水位,0.002823087186667222
月份,0.001964026035011524
小时,0.00047998553935591306
