,内河侧水位,长江侧水位,待过闸船舶吨位,水位差,水位比,总水位,小时,月份,水位差_分类_数值
count,13774.0,13774.0,13774.0,13774.0,13774.0,13774.0,13774.0,13774.0,13774.0
mean,3.9943081167416867,3.949963699724118,20040.859590532888,0.04434441701756931,1.0845299989658488,7.944271816465805,11.496224771308261,7.656599390155365,2.755336140554668
std,0.3863320239849507,1.1964975564186688,4947.039816842645,0.98818602087636,0.28761076535523655,1.4782442486573957,6.926113796794951,3.806086325622301,1.8619587791995074
min,0.0,0.5,1000.0,-4.6,0.0,3.2,0.0,1.0,0.0
25%,3.7,3.0,16800.0,-0.2999999999999998,0.9361702127659575,6.8,5.0,4.0,2.0
50%,3.9,3.7,20000.0,0.09999999999999964,1.0238095238095237,7.6,12.0,9.0,3.0
75%,4.2,4.6,23300.0,0.7000000000000002,1.2333333333333334,8.9,17.0,11.0,5.0
max,5.6,7.8,36700.0,4.0,9.0,12.7,23.0,12.0,5.0
