month,avg_interference,data_points
1,39.570081248295,744
2,39.42856655574202,672
3,38.84298102333632,744
4,60.54850612975207,720
5,59.82456239730048,744
6,57.68015168805471,720
7,59.62689045148194,744
8,61.331931566653886,744
9,62.362387194994334,720
10,39.05983202100359,744
11,39.149928445446655,720
12,40.0272334846305,744
