month,avg_interference,data_points
1,40.65949069367039,744
2,38.6492422893094,672
3,38.69130255342609,744
4,60.839400479888205,720
5,60.247161224670585,744
6,60.899010961438904,720
7,58.46596761239964,744
8,20.732479282765485,744
9,22.20508697593555,720
10,38.287270702155816,744
11,39.33918221176292,720
12,39.39527112003859,744
