年月,相关系数
2022-01,0.672752506101149
2022-02,0.7647252936020202
2022-03,0.7642880902550622
2022-04,0.7852362998930569
2022-05,0.407767665980932
2022-06,0.3040149837346063
2022-07,0.8781560077956574
2022-08,0.5316054909620351
2022-09,0.06923726315473147
2022-10,0.42299105052107455
2022-11,0.43362559893923325
2022-12,0.31504112821435176
2023-01,0.3655821208919672
2023-02,0.5010221328528235
2023-03,0.27151964489901353
2023-04,0.8577061574058884
2023-05,0.8465999120628739
2023-06,0.7290139314615962
2023-07,0.42583254174729296
2023-08,0.6002289007331574
2023-09,0.7581108835073945
2023-10,0.8941440671024196
2023-11,0.8861552603444651
2023-12,0.46593305300570326
2024-01,0.5154019371459116
2024-02,0.5687339821901419
2024-03,0.8966148360265885
2024-04,0.733903380386969
2024-05,0.07636113548009887
2024-06,-0.15091306047364086
2024-07,-0.037629771978416125
2024-08,0.15189201211735387
2024-09,0.6449485484045472
2024-10,0.6277782579309708
2024-11,0.5002387128975915
2024-12,0.3614368622705923
