指标,数值,说明
Pearson相关系数,0.6530090338234106,线性相关性
Spearman相关系数,0.6647679147190955,单调相关性
Kendall相关系数,0.5052235743760991,等级相关性
R²,-3.6929236507958505,决定系数
RMSE,0.8793968938066309,均方根误差
MAE,0.6364727388332538,平均绝对误差
