指标,数值
数据量,25164
时间范围,2022-01-01 到 2024-12-31
长江水位范围,0.00m - 7.80m
运河水位范围,0.00m - 5.80m
长江平均水位,4.00m
运河平均水位,4.01m
长江水位标准差,1.09m
运河水位标准差,0.41m
