,内河侧水位,长江侧水位,待过闸船舶吨位,水位差,水位比,总水位,未来一小时内河水位,未来一小时长江水位,未来一小时水位差,未来一小时水位比
count,13773.0,13773.0,13773.0,13773.0,13773.0,13773.0,13773.0,13773.0,13773.0,13773.0
mean,3.994314964060117,3.950025412038045,20040.927902417774,0.04428955202207217,1.0845173993494135,7.944340376098163,3.994351266971611,3.9500762361141364,0.044275030857474786,1.0845058839097461
std,0.38634521387923676,1.1965190730532798,4947.21292186464,0.9882009170062188,0.2876174055036676,1.478276016366136,0.3863128549282805,1.196468094173059,0.9881883416293024,0.28760728098747657
min,0.0,0.5,1000.0,-4.6,0.0,3.2,0.0,0.5,-4.6,0.0
25%,3.7,3.0,16800.0,-0.2999999999999998,0.9361702127659575,6.8,3.7,3.0,-0.2999999999999998,0.9361702127659575
50%,3.9,3.7,20000.0,0.09999999999999964,1.0238095238095237,7.6,3.9,3.7,0.09999999999999964,1.0238095238095237
75%,4.2,4.6,23300.0,0.7000000000000002,1.2333333333333334,8.9,4.2,4.6,0.7000000000000002,1.2333333333333334
max,5.6,7.8,36700.0,4.0,9.0,12.7,5.6,7.8,4.0,9.0
