特征,重要性
待过闸船舶吨位,0.4041804526331098
水位差,0.2016277247219363
水位比,0.19646974490215824
长江侧水位,0.058363722047193166
未来一小时水位比,0.04321255929122855
未来一小时水位差,0.040240706620346324
未来一小时长江水位,0.030570742172141764
总水位,0.015753399021481578
内河侧水位,0.007095519227089393
未来一小时内河水位,0.0024854293633148022
