真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
5.0,4.79363,5.2,4.914906,5.2999997,4.954193
5.2,4.929595,5.2999997,4.9254127,5.2,4.909491
5.2999997,4.934009,5.2,4.872966,5.1000004,4.79675
5.2,4.9275146,5.1000004,4.84059,4.9,4.7358594
5.1000004,4.8223724,4.9,4.734243,4.8,4.623468
4.9,4.760527,4.8,4.6802063,4.6,4.577244
4.8,4.6235304,4.6,4.54866,4.5,4.446502
4.6,4.5724373,4.5,4.486718,4.3,4.3727684
4.5,4.4133744,4.3,4.3125772,4.3,4.214308
4.3,4.2839155,4.3,4.246451,4.3,4.2294273
4.3,4.1454444,4.3,4.2386928,4.5,4.407791
4.3,4.312779,4.5,4.5125265,4.8,4.6647425
4.5,4.4098735,4.8,4.58247,4.9,4.681445
4.8,4.5316243,4.9,4.6277065,4.8,4.6654177
4.9,4.7235613,4.8,4.7106214,4.7,4.648657
4.8,4.690189,4.7,4.624678,4.6,4.514747
4.7,4.59533,4.6,4.4966645,4.5,4.364618
4.6,4.525801,4.5,4.4320917,4.4,4.320245
4.5,4.4015985,4.4,4.3101654,4.3,4.2336717
4.4,4.3498173,4.3,4.259403,4.2,4.1890264
4.3,4.255036,4.2,4.189804,4.1,4.1413083
4.2,4.1807604,4.1,4.171022,4.3,4.1888223
4.1,4.1190453,4.3,4.218011,4.8,4.4299035
4.3,4.256113,4.8,4.507468,5.2,4.678249
4.8,4.507528,5.2,4.7032957,5.2999997,4.8056574
5.2,4.819593,5.2999997,4.887766,5.2999997,4.91324
5.2999997,5.008371,5.2999997,4.977572,5.1000004,4.933695
5.2999997,4.946204,5.1000004,4.8563533,5.0,4.749752
5.1000004,4.896963,5.0,4.788447,4.8,4.657494
5.0,4.7414126,4.8,4.6494403,4.7,4.5273952
4.8,4.674254,4.7,4.5905666,4.5,4.481196
4.7,4.5490437,4.5,4.4608965,4.3,4.350027
4.5,4.4833627,4.3,4.3927693,4.2,4.293107
4.3,4.327549,4.2,4.2420554,4.2,4.1765223
4.2,4.132274,4.2,4.13576,4.3,4.262103
4.2,4.102833,4.3,4.2563243,4.6,4.4428973
4.3,4.2816277,4.6,4.484972,4.8,4.6158104
4.6,4.4193096,4.8,4.5746107,4.9,4.658161
4.8,4.628213,4.9,4.6393986,4.7,4.5941067
4.9,4.7178936,4.7,4.689092,4.7,4.6101246
4.7,4.643386,4.7,4.553842,4.5,4.424779
4.7,4.5397024,4.5,4.446282,4.4,4.324152
4.5,4.4707212,4.4,4.374705,4.3,4.279216
4.4,4.353677,4.3,4.251589,4.2,4.1670012
4.3,4.2622705,4.2,4.165875,4.1,4.0937786
4.2,4.164576,4.1,4.101596,4.2,4.0638385
4.1,4.095106,4.2,4.1011333,4.5,4.2107077
4.2,4.1656837,4.5,4.3991575,4.9,4.5848594
4.5,4.370282,4.9,4.583505,5.1000004,4.726347
4.9,4.619201,5.1000004,4.7686415,5.2,4.8319025
5.1000004,4.8628864,5.2,4.8607273,5.1000004,4.8341527
5.2,4.9017663,5.1000004,4.847235,5.0,4.7704406
5.1000004,4.8455195,5.0,4.7533364,4.8,4.634362
5.0,4.78145,4.8,4.689861,4.7,4.5645547
4.8,4.659867,4.7,4.572332,4.6,4.4548445
4.7,4.5764775,4.6,4.487581,4.4,4.3685536
