真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
4.2,4.2564387,4.2,4.3404355,4.2,4.4086933
4.2,4.2644224,4.2,4.3507867,4.2,4.437826
4.2,4.2805367,4.2,4.354405,4.2,4.434061
4.2,4.320854,4.2,4.3915954,4.2,4.47173
4.2,4.2707696,4.2,4.342427,4.2,4.411264
4.2,4.234963,4.2,4.3022656,4.2,4.3688097
4.2,4.211517,4.2,4.274829,4.0,4.3361287
4.2,4.2257023,4.0,4.290996,4.1,4.357597
4.0,4.2047677,4.1,4.268806,4.2,4.334959
4.1,4.162306,4.2,4.232135,4.2,4.31202
4.2,4.1574163,4.2,4.20395,4.2,4.2642193
4.2,4.214745,4.2,4.2512956,4.2,4.3003054
4.2,4.138266,4.2,4.134001,4.2,4.143262
4.2,4.215279,4.2,4.2844453,4.2,4.35624
4.2,4.205539,4.2,4.2804255,4.2,4.3460636
4.2,4.177385,4.2,4.2496376,4.1,4.3063073
4.2,4.2467046,4.1,4.3310056,4.2,4.4096613
4.1,4.1720066,4.2,4.2295103,4.2,4.2843723
4.2,4.1666355,4.2,4.229927,4.2,4.292559
4.2,4.1657343,4.2,4.199163,4.2,4.2379003
4.2,4.19041,4.2,4.2269077,4.2,4.271146
4.2,4.2160964,4.2,4.230888,4.2,4.261575
4.2,4.2395315,4.2,4.274413,4.2,4.338862
4.2,4.252721,4.2,4.3321524,4.1,4.398883
4.2,4.213257,4.1,4.2754707,4.2,4.3044934
4.1,4.2664847,4.2,4.34756,4.2,4.4235
4.2,4.354589,4.2,4.449635,4.2,4.5484076
4.2,4.320857,4.2,4.4002213,4.2,4.4884734
4.2,4.3403587,4.2,4.41634,4.2,4.503508
4.2,4.248587,4.2,4.32362,4.2,4.3904195
4.2,4.236515,4.2,4.305875,4.2,4.3747244
4.2,4.224479,4.2,4.290208,4.2,4.355573
4.2,4.2271347,4.2,4.2935696,4.2,4.362116
4.2,4.2762847,4.2,4.3479934,4.2,4.42169
4.2,4.2442656,4.2,4.2985544,4.2,4.365235
4.2,4.1621113,4.2,4.186016,4.2,4.2079263
4.2,4.1918163,4.2,4.2228165,4.3,4.254876
4.2,4.18639,4.3,4.242454,4.2,4.297493
4.3,4.2272396,4.2,4.298636,4.2,4.3698497
4.2,4.237856,4.2,4.3017344,4.1,4.363257
4.2,4.2324266,4.1,4.306582,4.2,4.372953
4.1,4.238749,4.2,4.3199244,4.2,4.3916054
4.2,4.145403,4.2,4.206823,4.2,4.260571
4.2,4.1740937,4.2,4.225398,4.2,4.27637
4.2,4.186739,4.2,4.23468,4.2,4.286754
4.2,4.2406793,4.2,4.307979,4.2,4.380253
4.2,4.234705,4.2,4.2597523,4.2,4.304165
4.2,4.2193007,4.2,4.2577233,4.2,4.3187437
4.2,4.228391,4.2,4.308344,4.2,4.355594
4.2,4.207518,4.2,4.2907963,4.2,4.34428
4.2,4.2391686,4.2,4.319145,4.1,4.3938465
4.2,4.2660155,4.1,4.3422785,4.1,4.4237647
4.1,4.30776,4.1,4.3789907,4.2,4.458415
4.1,4.3010807,4.2,4.3827944,4.2,4.467042
4.2,4.2102895,4.2,4.293903,4.1,4.362851
4.2,4.2133965,4.1,4.2818394,4.1,4.3468366
4.1,4.216222,4.1,4.2798033,4.2,4.343338
4.1,4.164889,4.2,4.2292614,4.1,4.293975
4.2,4.3399324,4.1,4.4176526,4.1,4.5024576
4.1,4.2259183,4.1,4.265685,4.2,4.321608
4.1,4.1764574,4.2,4.2245016,4.2,4.281957
4.2,3.97597,4.2,3.9591713,3.8999999,3.9493608
4.2,4.1717253,3.8999999,4.231945,4.2,4.2882195
3.8999999,4.0922856,4.2,4.157928,4.2,4.2083135
4.2,4.2787266,4.2,4.3766546,4.2,4.4904246
4.2,4.2269382,4.2,4.3107524,4.1,4.3853774
4.2,4.2185316,4.1,4.2962213,4.2,4.3692703
4.1,4.184202,4.2,4.242472,4.1,4.3003364
4.2,4.1476417,4.1,4.2022166,4.1,4.2555895
4.1,4.1677847,4.1,4.2069635,2.9,4.251214
4.1,4.150557,2.9,4.188779,4.1,4.234926
2.9,4.129553,4.1,4.1729803,4.1,4.215999
4.1,3.696915,4.1,3.7925372,4.1,3.8785415
4.1,3.8359842,4.1,3.827531,4.1,3.8195093
4.1,4.002,4.1,4.0162945,4.1,4.02152
4.1,4.1400084,4.1,4.2197533,4.1,4.279095
4.1,4.174965,4.1,4.254352,4.1,4.321797
4.1,4.1857815,4.1,4.265338,4.2,4.3316784
4.1,4.1900554,4.2,4.266925,4.1,4.337237
4.2,4.286415,4.1,4.377189,4.1,4.4778895
4.1,4.218482,4.1,4.2587037,4.0,4.3070526
4.1,4.101283,4.0,4.1131215,4.1,4.13753
4.0,4.129711,4.1,4.1783705,4.1,4.2349777
4.1,4.1457324,4.1,4.204557,4.1,4.275396
4.1,4.0924644,4.1,4.1313763,4.1,4.172094
4.1,4.118934,4.1,4.157091,4.1,4.196003
4.1,3.9971569,4.1,3.9807587,4.1,3.971616
4.1,4.1421313,4.1,4.219714,4.1,4.283764
4.1,4.150584,4.1,4.2336106,4.1,4.301114
4.1,4.17217,4.1,4.25518,4.1,4.3205366
4.1,4.154101,4.1,4.2301207,4.1,4.2889647
4.1,4.145634,4.1,4.2113266,4.1,4.271212
4.1,4.091225,4.1,4.141542,4.1,4.19404
4.1,4.1157374,4.1,4.1664495,4.1,4.2188096
4.1,4.141749,4.1,4.190998,4.1,4.242981
4.1,4.1564054,4.1,4.1930785,4.1,4.238468
4.1,4.0988708,4.1,4.1193857,3.8,4.145189
4.1,4.162951,3.8,4.207681,4.1,4.250942
3.8,3.8577898,4.1,3.844288,3.7,3.831967
4.1,3.9156322,3.7,3.9187825,4.2,3.9242463
3.7,3.9991546,4.2,4.019097,4.2,4.0331235
4.2,4.280866,4.2,4.386217,4.1,4.504535
4.2,4.194576,4.1,4.2777796,4.2,4.3457894
4.1,4.2213326,4.2,4.294867,4.1,4.3683267
4.2,4.1480536,4.1,4.205394,4.2,4.259916
4.1,4.216674,4.2,4.270831,4.2,4.3293505
4.2,4.2151,4.2,4.2873664,4.2,4.364757
4.2,4.2359014,4.2,4.2931237,4.2,4.3588824
4.2,4.2491975,4.2,4.265253,4.2,4.3014774
4.2,4.3124905,4.2,4.343032,4.3,4.4152246
4.2,4.217675,4.3,4.249202,4.3,4.284704
4.3,4.189075,4.3,4.2232018,4.3,4.2586827
4.3,4.2490005,4.3,4.3109283,4.3,4.37366
4.3,4.2264543,4.3,4.281049,4.3,4.3409348
4.3,4.2763867,4.3,4.337176,4.3,4.4033895
4.3,4.2883873,4.3,4.3505664,4.3,4.4188094
4.3,4.256817,4.3,4.313476,4.3,4.3716702
4.3,4.2601905,4.3,4.3092146,4.2,4.362915
4.3,4.2519116,4.2,4.282416,4.2,4.3217783
4.2,4.2491736,4.2,4.275067,4.2,4.3119917
4.2,4.2074575,4.2,4.2269754,4.2,4.257189
4.2,4.2092533,4.2,4.2277126,3.6,4.2596107
4.2,4.2375817,3.6,4.28692,4.2,4.348213
3.6,4.1147175,4.2,4.108455,4.3,4.115534
4.2,4.01839,4.3,4.093439,4.3,4.171656
4.3,4.123045,4.3,4.200917,4.3,4.2540073
4.3,4.2449284,4.3,4.3114686,4.3,4.3711877
4.3,4.266834,4.3,4.3253326,4.3,4.388967
4.3,4.2915072,4.3,4.3657546,4.3,4.440282
4.3,4.2724166,4.3,4.3187695,4.3,4.369653
4.3,4.2751155,4.3,4.310057,4.2,4.3535542
4.3,4.2757707,4.2,4.311273,4.3,4.3571424
4.2,4.2854047,4.3,4.3206835,4.3,4.368106
4.3,4.329009,4.3,4.4004855,4.3,4.4919066
4.3,4.2351346,4.3,4.232017,4.3,4.233704
4.3,4.2826586,4.3,4.3096876,4.3,4.351142
4.3,4.2801595,4.3,4.353257,4.3,4.412134
4.3,4.24874,4.3,4.306848,4.3,4.3610024
4.3,4.283821,4.3,4.345219,4.3,4.404076
4.3,4.304407,4.3,4.363281,4.3,4.422914
4.3,4.234163,4.3,4.280173,4.3,4.322448
4.3,4.39525,4.3,4.4804983,4.2,4.5724893
4.3,4.259514,4.2,4.285525,4.1,4.319497
4.2,4.2616143,4.1,4.2843394,4.2,4.3180404
4.1,4.1993284,4.2,4.1883125,4.2,4.191653
4.2,4.241546,4.2,4.321083,4.2,4.4126196
4.2,4.1831374,4.2,4.1768208,4.2,4.182289
4.2,4.209953,4.2,4.251686,4.2,4.3004217
4.2,4.214524,4.2,4.275624,4.2,4.3359184
4.2,4.228785,4.2,4.2961893,4.2,4.3647304
4.2,4.133126,4.2,4.1640534,4.3,4.1930513
4.2,4.1961107,4.3,4.2627516,4.2,4.3225083
4.3,4.3257685,4.2,4.415023,4.4,4.513662
4.2,4.2270737,4.4,4.254248,4.5,4.289193
4.4,4.2975497,4.5,4.3691425,4.6,4.446327
4.5,4.2999744,4.6,4.3361497,4.7,4.367188
4.6,4.464947,4.7,4.550682,4.7,4.601382
4.7,4.620154,4.7,4.68215,4.6,4.737531
4.7,4.601401,4.6,4.679695,4.6,4.7221007
4.6,4.69327,4.6,4.772914,4.6,4.816268
4.6,4.621841,4.6,4.7105308,4.6,4.753431
4.6,4.597551,4.6,4.6814184,4.6,4.7325964
4.6,4.5896616,4.6,4.671618,4.6,4.7335205
4.6,4.5401716,4.6,4.6154823,4.6,4.67674
4.6,4.5340843,4.6,4.603761,4.7,4.663229
4.6,4.5137644,4.7,4.5692015,4.7,4.6042905
4.7,4.6022334,4.7,4.6441107,4.6,4.6865673
4.7,4.6006846,4.6,4.6269436,4.6,4.626359
4.6,4.6313114,4.6,4.64468,4.6,4.6343575
4.6,4.5814643,4.6,4.6176248,4.6,4.6246157
4.6,4.5503407,4.6,4.6054726,4.6,4.6342306
4.6,4.528291,4.6,4.5974007,4.6,4.6409354
4.6,4.573384,4.6,4.6494055,4.6,4.7065587
4.6,4.5593095,4.6,4.6322746,4.6,4.6837025
4.6,4.513478,4.6,4.578083,4.6,4.616607
4.6,4.5100617,4.6,4.5652866,4.6,4.5940256
4.6,4.5122457,4.6,4.559709,4.5,4.577768
4.6,4.529732,4.5,4.5598283,4.6,4.5597734
4.5,4.4929175,4.6,4.4987907,4.6,4.4817553
4.6,4.5149693,4.6,4.538568,4.6,4.5328684
4.6,4.506934,4.6,4.5100822,4.6,4.488655
4.6,4.5578313,4.6,4.567241,4.5,4.54432
4.6,4.5228395,4.5,4.5551825,4.6,4.5498676
4.5,4.5134554,4.6,4.5719113,4.6,4.592944
4.6,4.520511,4.6,4.605678,4.6,4.664521
4.6,4.592875,4.6,4.675579,4.7,4.7278433
4.6,4.6004806,4.7,4.676142,4.7,4.7264915
4.7,4.615334,4.7,4.6863227,4.7,4.742092
4.7,4.6936665,4.7,4.7514224,4.7,4.802986
4.7,4.654288,4.7,4.7024455,4.7,4.7437243
4.7,4.62075,4.7,4.6611,4.7,4.6878686
4.7,4.6143456,4.7,4.6445007,4.7,4.6523027
4.7,4.662716,4.7,4.6749835,4.7,4.6709437
4.7,4.6186967,4.7,4.6303644,4.7,4.617137
4.7,4.6099095,4.7,4.618757,4.8,4.6008687
4.7,4.643452,4.8,4.6498413,4.8,4.6366167
4.8,4.622176,4.8,4.653616,4.8,4.661954
4.8,4.6718736,4.8,4.704561,4.8,4.719187
4.8,4.6726356,4.8,4.7246585,4.9,4.75898
4.8,4.7131467,4.9,4.7785063,4.9,4.8226085
4.9,4.7162743,4.9,4.777146,4.9,4.81355
4.9,4.8003387,4.9,4.8474445,5.0,4.8842444
4.9,4.824597,5.0,4.855224,5.1000004,4.891711
5.0,4.834512,5.1000004,4.8418603,5.1000004,4.871359
5.1000004,4.8867993,5.1000004,4.8736258,5.0,4.876687
5.1000004,4.8741946,5.0,4.865318,4.9,4.851619
5.0,4.877995,4.9,4.8595643,4.9,4.8316054
4.9,4.8254876,4.9,4.801738,4.9,4.7615466
4.9,4.781451,4.9,4.7522354,4.9,4.702599
4.9,4.728513,4.9,4.7071705,4.9,4.659675
4.9,4.7211156,4.9,4.7083426,4.9,4.675425
4.9,4.69708,4.9,4.697318,4.8,4.679646
4.9,4.691494,4.8,4.7149425,4.7,4.7245245
4.8,4.6935964,4.7,4.718488,4.7,4.727493
4.7,4.6568055,4.7,4.6678615,4.6,4.6579165
4.7,4.613628,4.6,4.6310053,4.7,4.6307383
4.6,4.5723433,4.7,4.57828,4.6,4.5538063
4.7,4.5729218,4.6,4.577234,4.6,4.562634
4.6,4.5597525,4.6,4.5552163,4.6,4.523167
4.6,4.506109,4.6,4.5048914,4.6,4.4797244
4.6,4.482074,4.6,4.481083,4.6,4.4542584
4.6,4.5348988,4.6,4.5338836,4.6,4.5077815
4.6,4.5262637,4.6,4.5515394,4.6,4.5449986
4.6,4.5366015,4.6,4.6067104,4.6,4.6472015
4.6,4.603561,4.6,4.6895556,2.6,4.747481
4.6,4.623376,2.6,4.706543,4.7,4.75967
2.6,4.5588946,4.7,4.631875,4.7,4.6798277
4.7,4.176593,4.7,4.2138057,4.7,4.2886925
4.7,4.468067,4.7,4.55235,4.7,4.6378036
4.7,4.641883,4.7,4.71024,4.7,4.77214
4.7,4.650857,4.7,4.7040033,4.5,4.740986
4.7,4.66264,4.5,4.7019815,4.6,4.724173
4.5,4.667548,4.6,4.7001705,4.6,4.7103567
4.6,4.5521417,4.6,4.59726,4.6,4.6138062
4.6,4.5577917,4.6,4.5923715,4.6,4.591341
4.6,4.537164,4.6,4.5926194,4.6,4.613528
4.6,4.5807,4.6,4.6309967,4.6,4.682648
4.6,4.4352484,4.6,4.517475,4.5,4.5609827
4.6,4.4931664,4.5,4.579788,4.6,4.6409717
4.5,4.536087,4.6,4.6033416,4.6,4.646497
4.6,4.489243,4.6,4.5591044,4.6,4.6153936
4.6,4.508755,4.6,4.560348,4.6,4.5846543
4.6,4.526148,4.6,4.5675955,4.6,4.5796614
4.6,4.5011377,4.6,4.5080714,4.6,4.492359
4.6,4.495017,4.6,4.4996643,4.6,4.479998
4.6,4.5058446,4.6,4.5077887,4.6,4.483761
4.6,4.5699096,4.6,4.57669,4.4,4.551488
4.6,4.527039,4.4,4.5763545,4.2,4.5874624
4.4,4.529079,4.2,4.606072,4.6,4.6538963
4.2,4.3949637,4.6,4.481279,4.7,4.5280375
4.6,4.2345214,4.7,4.30017,4.7,4.3519883
4.7,4.58473,4.7,4.673107,4.7,4.7412877
4.7,4.6741786,4.7,4.7459574,4.6,4.810348
4.7,4.6545467,4.6,4.719388,4.7,4.781158
4.6,4.6459394,4.7,4.698337,4.7,4.747662
4.7,4.5930147,4.7,4.6493073,4.7,4.7011476
4.7,4.633307,4.7,4.66073,4.6,4.6686234
4.7,4.627666,4.6,4.639575,4.6,4.627197
4.6,4.6412387,4.6,4.6458907,4.6,4.625991
4.6,4.5277433,4.6,4.5393834,4.5,4.518806
4.6,4.496335,4.5,4.547196,4.6,4.5617776
4.5,4.463637,4.6,4.538444,4.6,4.5779753
4.6,4.4908442,4.6,4.5800643,4.6,4.6491065
4.6,4.534769,4.6,4.6143446,4.6,4.6670456
4.6,4.5607333,4.6,4.6315603,4.6,4.684984
4.6,4.516013,4.6,4.576922,4.6,4.6168528
4.6,4.483242,4.6,4.5314693,4.6,4.5498095
4.6,4.5017953,4.6,4.532982,4.6,4.535021
4.6,4.553672,4.6,4.5656657,4.6,4.547309
4.6,4.512072,4.6,4.5141983,4.6,4.491023
4.6,4.5187063,4.6,4.5191307,4.6,4.4935575
4.6,4.5080066,4.6,4.5091367,4.6,4.483842
4.6,4.5423193,4.6,4.601902,4.6,4.633987
4.6,4.501968,4.6,4.5837283,4.6,4.6370583
4.6,4.6034083,4.6,4.704138,4.7,4.775344
4.6,4.6424294,4.7,4.7339215,4.7,4.7914863
4.7,4.653792,4.7,4.738862,4.7,4.8143644
4.7,4.6743174,4.7,4.746909,4.7,4.823136
4.7,4.6486745,4.7,4.7123685,4.7,4.7804456
4.7,4.6445556,4.7,4.6948495,4.7,4.7482643
4.7,4.6583195,4.7,4.685933,4.7,4.713275
4.7,4.645829,4.7,4.660139,4.7,4.6568446
4.7,4.623635,4.7,4.6303024,4.6,4.6116257
4.7,4.6514006,4.6,4.645613,4.6,4.6165013
4.6,4.5956097,4.6,4.595399,4.6,4.564331
4.6,4.5060654,4.6,4.562144,4.6,4.587406
4.6,4.5031137,4.6,4.583346,4.6,4.6401896
4.6,4.5512586,4.6,4.6391325,4.6,4.69729
4.6,4.5505886,4.6,4.627079,4.6,4.6797237
4.6,4.566584,4.6,4.63625,4.6,4.6952996
4.6,4.515725,4.6,4.576604,4.6,4.624526
4.6,4.4958453,4.6,4.546026,4.6,4.5683274
4.6,4.504591,4.6,4.5349627,4.6,4.5366874
4.6,4.514588,4.6,4.5196877,4.6,4.501481
4.6,4.5169735,4.6,4.5184493,4.6,4.495055
4.6,4.559556,4.6,4.563675,4.6,4.532981
4.6,4.5284247,4.6,4.5357723,4.5,4.51288
4.6,4.5057335,4.5,4.574777,4.6,4.613276
4.5,4.4992747,4.6,4.5883374,4.6,4.64666
4.6,4.5417137,4.6,4.646477,4.6,4.717585
4.6,4.6259947,4.6,4.7137403,4.6,4.772342
4.6,4.6427226,4.6,4.7250905,4.6,4.805003
4.6,4.5599256,4.6,4.6373496,4.6,4.721441
4.6,4.5546727,4.6,4.6258693,4.5,4.7027826
4.6,4.5311,4.5,4.5916023,4.6,4.647941
4.5,4.543104,4.6,4.5938926,4.6,4.630486
4.6,4.441275,4.6,4.4767346,4.6,4.489057
4.6,4.5386963,4.6,4.5583897,4.6,4.5472026
4.6,4.531699,4.6,4.544488,4.6,4.524858
4.6,4.5065923,4.6,4.540894,4.6,4.538295
4.6,4.5216007,4.6,4.600425,4.7,4.6601944
4.6,4.5199814,4.7,4.6065125,4.7,4.6612744
4.7,4.553473,4.7,4.639571,4.7,4.692372
4.7,4.64392,4.7,4.712742,4.7,4.7577953
4.7,4.643133,4.7,4.699632,4.6,4.747722
4.7,4.584037,4.6,4.63029,4.6,4.663948
4.6,4.5921583,4.6,4.611505,4.6,4.609455
4.6,4.5018816,4.6,4.5073276,4.5,4.491203
4.6,4.5512447,4.5,4.5574994,4.5,4.5325894
4.5,4.506726,4.5,4.5066786,4.5,4.4811087
4.5,4.416197,4.5,4.415266,4.5,4.39468
4.5,4.4187627,4.5,4.4313464,4.5,4.420696
4.5,4.449526,4.5,4.5367594,4.5,4.5942297
4.5,4.517508,4.5,4.626265,4.5,4.71489
4.5,4.5605955,4.5,4.665208,4.5,4.7270517
4.5,4.541386,4.5,4.6343703,4.5,4.710068
4.5,4.5289555,4.5,4.6191072,4.5,4.7070336
4.5,4.477647,4.5,4.560022,4.5,4.64895
4.5,4.471987,4.5,4.548259,4.5,4.623133
4.5,4.4705725,4.5,4.5417395,4.6,4.599823
4.5,4.4518547,4.6,4.516557,4.5,4.5529914
4.6,4.4763603,4.5,4.5384617,4.5,4.5686617
4.5,4.5148816,4.5,4.5612164,4.5,4.568168
4.5,4.434605,4.5,4.480709,4.5,4.4951477
4.5,4.452255,4.5,4.5321765,4.5,4.5865474
4.5,4.3960843,4.5,4.484524,4.5,4.536265
4.5,4.479544,4.5,4.576229,4.5,4.6408896
4.5,4.488892,4.5,4.5808277,4.5,4.641893
4.5,4.4937735,4.5,4.581999,4.5,4.6592026
4.5,4.4148984,4.5,4.49132,4.6,4.5403233
4.5,4.414286,4.6,4.4856296,4.5,4.5287023
4.6,4.4245977,4.5,4.479382,4.5,4.505651
4.5,4.501681,4.5,4.530759,4.5,4.530284
4.5,4.470973,4.5,4.493476,4.4,4.4898415
4.5,4.4339952,4.4,4.4450307,4.4,4.4308176
4.4,4.4188004,4.4,4.4461784,4.5,4.4448214
4.4,4.346231,4.5,4.3898044,4.4,4.420482
4.5,4.451757,4.4,4.556754,4.4,4.649491
4.4,4.508568,4.4,4.620959,4.6,4.6970468
4.4,4.468198,4.6,4.5712204,4.5,4.643768
4.6,4.482074,4.5,4.5796027,4.5,4.670871
4.5,4.553434,4.5,4.6363845,4.5,4.720927
4.5,4.497157,4.5,4.580331,4.5,4.6669354
4.5,4.467692,4.5,4.5415015,4.5,4.602763
4.5,4.456103,4.5,4.5275164,4.5,4.572159
4.5,4.433546,4.5,4.479113,4.6,4.498589
4.5,4.434283,4.6,4.48023,4.5,4.5003343
4.6,4.452267,4.5,4.50554,4.6,4.523352
4.5,4.4820433,4.6,4.543334,4.5,4.563592
4.6,4.4557934,4.5,4.545197,3.3,4.611722
4.5,4.503291,3.3,4.5945053,4.6,4.650533
3.3,4.4004965,4.6,4.4580703,4.6,4.480398
4.6,3.9945056,4.6,4.008275,4.6,4.032791
4.6,4.4456925,4.6,4.5309906,4.7,4.6181273
4.6,4.477198,4.7,4.549239,4.7,4.6019144
4.7,4.541162,4.7,4.602919,4.7,4.6495576
4.7,4.6191716,4.7,4.6430097,4.0,4.6402187
4.7,4.6355305,4.0,4.643783,4.7,4.623938
4.0,4.665384,4.7,4.659663,4.6,4.6264033
4.7,4.1688547,4.6,4.212716,4.6,4.263339
4.6,4.5546756,4.6,4.6030564,4.5,4.614204
4.6,4.5108004,4.5,4.598113,4.6,4.6544013
4.5,4.5520735,4.6,4.657873,4.7,4.7460794
4.6,4.5157804,4.7,4.6229577,4.7,4.691835
4.7,4.624104,4.7,4.707402,4.7,4.7699947
4.7,4.6665263,4.7,4.7347326,4.7,4.7979264
4.7,4.627092,4.7,4.6859035,4.7,4.7451196
4.7,4.6134005,4.7,4.658138,4.7,4.6993675
4.7,4.625951,4.7,4.645293,4.6,4.647996
4.7,4.606296,4.6,4.617167,4.7,4.5998254
4.6,4.6154943,4.7,4.618921,4.6,4.5928497
4.7,4.548736,4.6,4.548375,4.6,4.517108
4.6,4.5861716,4.6,4.583823,4.6,4.545607
4.6,4.5136547,4.6,4.568906,4.5,4.594336
4.6,4.466255,4.5,4.5432186,4.6,4.5839567
4.5,4.5320683,4.6,4.619134,4.6,4.672053
4.6,4.467146,4.6,4.5477476,4.6,4.5960326
4.6,4.5614653,4.6,4.6291113,4.6,4.6830964
4.6,4.5228634,4.6,4.580088,4.6,4.6233997
4.6,4.493661,4.6,4.5356627,4.6,4.5477753
4.6,4.5173483,4.6,4.5287604,4.6,4.5154643
4.6,4.524022,4.6,4.523616,4.6,4.497741
4.6,4.5049176,4.6,4.5020447,4.6,4.471139
4.6,4.5144506,4.6,4.508582,4.5,4.473329
4.6,4.55959,4.5,4.5586987,3.5,4.523563
4.5,4.496593,3.5,4.5556245,4.5,4.574639
3.5,4.3993416,4.5,4.472097,4.5,4.51083
4.5,3.8531487,4.5,3.8829668,4.6,3.9168587
4.5,4.428065,4.6,4.526141,4.7,4.591176
4.6,4.506841,4.7,4.5962057,4.6,4.677936
4.7,4.5676527,4.6,4.6397476,4.6,4.7078643
4.6,4.6182857,4.6,4.6651,4.6,4.7040524
4.6,4.554783,4.6,4.5949535,4.6,4.607129
4.6,4.5908604,4.6,4.602573,4.6,4.585597
4.6,4.563408,4.6,4.5708146,4.6,4.545647
4.6,4.5735826,4.6,4.580595,4.5,4.5518837
4.6,4.4915323,4.5,4.492867,4.5,4.465768
4.5,4.481571,4.5,4.4942274,4.5,4.4787345
4.5,4.3572807,4.5,4.416494,4.5,4.449659
4.5,4.467809,4.5,4.5603814,4.5,4.6220665
4.5,4.4738846,4.5,4.5631185,4.6,4.6132817
4.5,4.482447,4.6,4.5592475,4.6,4.6098757
4.6,4.494065,4.6,4.566858,4.6,4.633719
4.6,4.52258,4.6,4.575081,4.6,4.608298
4.6,4.532436,4.6,4.553735,4.6,4.546791
4.6,4.521204,4.6,4.5234957,4.6,4.5007944
4.6,4.5130835,4.6,4.5114374,4.5,4.4818153
4.6,4.5725923,4.5,4.569493,4.5,4.5318775
4.5,4.508666,4.5,4.505005,4.5,4.472332
4.5,4.4296017,4.5,4.438991,4.5,4.4229465
4.5,4.416691,4.5,4.481689,4.5,4.5142756
4.5,4.491375,4.5,4.5922523,4.6,4.658486
4.5,4.484172,4.6,4.577417,4.6,4.629468
4.6,4.5202193,4.6,4.6028385,4.6,4.6647544
4.6,4.540395,4.6,4.61018,4.6,4.6699934
4.6,4.5236692,4.6,4.5789104,4.6,4.6175804
4.6,4.52866,4.6,4.563236,4.6,4.569254
4.6,4.552809,4.6,4.566048,4.5,4.54905
4.6,4.5258327,4.5,4.5261765,4.5,4.49999
4.5,4.496965,4.5,4.494768,4.6,4.4635344
4.5,4.426241,4.6,4.4252086,4.6,4.397235
4.6,4.4445257,4.6,4.445724,4.6,4.4239306
4.6,4.472941,4.6,4.532079,4.6,4.5510063
4.6,4.5002313,4.6,4.5821757,4.7,4.6322165
4.6,4.505312,4.7,4.5847282,4.8,4.622637
4.7,4.5561,4.8,4.6264915,4.8,4.6627617
4.8,4.656145,4.8,4.707219,4.8,4.7438083
4.8,4.6921935,4.8,4.71128,4.8,4.7164526
4.8,4.680406,4.8,4.681477,4.8,4.659895
4.8,4.6838765,4.8,4.674946,4.8,4.6377044
4.8,4.663077,4.8,4.648415,4.8,4.59917
4.8,4.674078,4.8,4.6532955,4.7,4.597632
4.8,4.657561,4.7,4.6360087,4.7,4.5775027
4.7,4.646732,4.7,4.6285734,4.6,4.5754523
4.7,4.555044,4.6,4.5817676,4.7,4.57559
4.6,4.5193214,4.7,4.587943,4.7,4.629392
4.7,4.5482907,4.7,4.629673,4.8,4.6798997
4.7,4.6338897,4.8,4.700284,4.7,4.740294
4.8,4.642208,4.7,4.6897197,4.8,4.725327
4.7,4.6587057,4.8,4.6676555,4.8,4.6553106
4.8,4.6312943,4.8,4.635432,4.8,4.6136417
4.8,4.662887,4.8,4.6495767,4.7,4.602226
4.8,4.6720576,4.7,4.651007,4.7,4.592374
4.7,4.6645384,4.7,4.643473,4.6,4.5838056
4.7,4.5726857,4.6,4.5511656,4.5,4.4961605
4.6,4.5567756,4.5,4.5359483,4.4,4.4821205
4.5,4.469339,4.4,4.4665895,4.4,4.436626
4.4,4.3657513,4.4,4.3838725,4.4,4.377778
4.4,4.3767853,4.4,4.430851,4.5,4.457156
4.4,4.3754654,4.5,4.4274654,4.5,4.4497066
4.5,4.377502,4.5,4.4319167,4.5,4.453636
4.5,4.471782,4.5,4.5344644,4.5,4.5677967
4.5,4.4307165,4.5,4.445556,4.5,4.437245
4.5,4.452304,4.5,4.459121,4.5,4.4422994
4.5,4.4384365,4.5,4.441774,4.4,4.418012
4.5,4.453304,4.4,4.455122,4.4,4.429107
4.4,4.455352,4.4,4.4562945,4.4,4.4287844
4.4,4.3502755,4.4,4.344846,4.4,4.3218527
4.4,4.357257,4.4,4.37305,4.4,4.3689995
4.4,4.3083687,4.4,4.3356695,4.3,4.3423247
4.4,4.396554,4.3,4.479919,4.4,4.5301065
4.3,4.4132185,4.4,4.490564,4.5,4.532597
4.4,4.2744975,4.5,4.3157454,4.4,4.3471346
4.5,4.3755217,4.4,4.441324,4.4,4.477187
4.4,4.403466,4.4,4.411338,4.4,4.396483
4.4,4.3427515,4.4,4.332031,4.4,4.3203344
4.4,4.332383,4.4,4.320284,4.4,4.3044577
4.4,4.3408136,4.4,4.331107,4.4,4.3112187
4.4,4.31727,4.4,4.303772,4.4,4.2794313
4.4,4.333673,4.4,4.3246512,4.4,4.3007045
4.4,4.314417,4.4,4.303369,4.3,4.2815986
4.4,4.346775,4.3,4.3847876,4.3,4.3946366
4.3,4.289347,4.3,4.331856,4.4,4.3437257
4.3,4.3120847,4.4,4.367764,4.4,4.3959303
4.4,4.298232,4.4,4.349553,4.5,4.37639
4.4,4.4056396,4.5,4.477701,4.5,4.516262
4.5,4.3481526,4.5,4.3976245,4.4,4.4173355
4.5,4.4182267,4.4,4.429554,4.5,4.416248
